Vuosi,y_coord,x_coord,Onnettomuustyyppi 1
2009,6676599,3387028,21 Rakennuspalo
2009,6681371,3381970,21 Rakennuspalo
2009,6672774,3382606,21 Rakennuspalo
2009,6682658,3389561,21 Rakennuspalo
2009,6675131,3384781,21 Rakennuspalo
2009,6682827,3372858,21 Rakennuspalo
2009,6690320,3376442,21 Rakennuspalo
2009,6679548,3391523,21 Rakennuspalo
2009,6677629,3385945,21 Rakennuspalo
2009,6674866,3386009,21 Rakennuspalo
2009,6688890,3382080,21 Rakennuspalo
2009,6685280,3390987,21 Rakennuspalo
2009,6684957,3380899,21 Rakennuspalo
2009,6676181,3376543,21 Rakennuspalo
2009,6683089,3382580,21 Rakennuspalo
2009,6681902,3382865,21 Rakennuspalo
2009,6676162,3386636,21 Rakennuspalo
2009,6678781,3370277,21 Rakennuspalo
2009,6677960,3387503,21 Rakennuspalo
2009,6680325,3397514,21 Rakennuspalo
2009,6675196,3386118,21 Rakennuspalo
2009,6676454,3386422,21 Rakennuspalo
2009,6673809,3382714,21 Rakennuspalo
2009,6676788,3391338,21 Rakennuspalo
2009,6674878,3384865,21 Rakennuspalo
2009,6677523,3395461,21 Rakennuspalo
2009,6683742,3390602,21 Rakennuspalo
2009,6674877,3384868,21 Rakennuspalo
2009,6682427,3379049,21 Rakennuspalo
2009,6672410,3370103,21 Rakennuspalo
2009,6693777,3395168,21 Rakennuspalo
2009,6681371,3381970,21 Rakennuspalo
2009,6687570,3385226,21 Rakennuspalo
2009,6678705,3396012,21 Rakennuspalo
2009,6676812,3386694,21 Rakennuspalo
2009,6682925,3393558,21 Rakennuspalo
2009,6676219,3386719,21 Rakennuspalo
2009,6683048,3380900,21 Rakennuspalo
2009,6679104,3397585,21 Rakennuspalo
2009,6675721,3369884,21 Rakennuspalo
2009,6676836,3386611,21 Rakennuspalo
2009,6687392,3382013,21 Rakennuspalo
2009,6674403,3393642,21 Rakennuspalo
2009,6676075,3389984,21 Rakennuspalo
2009,6682676,3393542,21 Rakennuspalo
2009,6683048,3380900,21 Rakennuspalo
2009,6673779,3386155,21 Rakennuspalo
